Allgemein,Abkuerzungen,Zahl-roemisch,Zahl-woerter,Monate,Seitenzahlen,Buchstaben
abgesehen,a,I,eins,Januar,-1-,A
Absatz,a.A,II,zwei,Februar,-2-,B
allein,a.A.,III,drei,März,-3-,C
allerdings,a.a.O,IV,vier,April,-4-,D
allgemeinen,a.a.O.,V,fünf,Mai,-5-,E
Angaben,a.F,VI,sechs,Juni,-6-,F
angesehen,a.F.,VII,sieben,Juli,-7-,G
angesichts,aa,VIII,acht,August,-8-,H
Anwendung,aaO,IX,neun,September,-9-,I
Auffassung,ab,X,zehn,Oktober,-10-,J
aufgrund,Abs,XI,elf,November,-11-,K
ausdrücklich,Abs.,XII,zwölf,Dezember,-12-,L
ausgeführt,aF,,,,-13-,M
ausgegangen,Art,,,,-14-,N
ausgeschlossen,Art.,,,,-15-,O
auszugehen,Aufl,,,,-16-,P
bedarf,Aufl.,,,,-17-,Q
Bedeutung,Az,,,,-18-,R
beiden,Az.,,,,-19-,S
beim,b,,,,-20-,T
bekannt,bb,,,,-21-,U
bereits,Beschl,,,,-22-,V
berücksichtigen,Beschl.,,,,-23-,W
berufen,Buchst,,,,-24-,X
beschlossen,Buchst.,,,,-25-,Y
bestehen,bzw,,,,-26-,Z
bestehenden,bzw.,,,,-27-,
besteht,c,,,,-28-,
Betracht,cc,,,,-29-,
betrifft,d.h,,,,-30-,
Bezug,d.h.,,,,-31-,
bisher,Dr,,,,-32-,
bisherigen,Dr.,,,,-33-,
bleiben,ECLI:DE:BAG,,,,-34-,
bleibt,ECLI:DE:BFH,,,,-35-,
Blick,ECLI:DE:BGH,,,,-36-,
dabei,ECLI:DE:BPatG,,,,-37-,
dadurch,ECLI:DE:BSG,,,,-38-,
dafür,ECLI:DE:BVerfG,,,,-39-,
dagegen,ECLI:DE:BVerwG,,,,-40-,
daher,f,,,,-41-,
dahin,ff,,,,-42-,
danach,Halbs,,,,-43-,
dar,Halbs.,,,,-44-,
daran,Hs,,,,-45-,
darauf,Hs.,,,,-46-,
daraus,I.V.m,,,,-47-,
darf,I.V.m.,,,,-48-,
dargelegt,iVm,,,,-49-,
darin,m.w.N,,,,-50-,
darüber,m.w.N.,,,,-51-,
dass,mwN,,,,-52-,
davon,n.F,,,,-53-,
denen,n.F.,,,,-54-,
deren,nF,,,,-55-,
deshalb,Nr,,,,-56-,
deutschen,Nr.,,,,-57-,
dürfen,Prof,,,,-58-,
ebenfalls,Prof.,,,,-59-,
ebenso,rd,,,,-60-,
eigenen,Rdn,,,,-61-,
einzelnen,Rdn.,,,,-62-,
entgegen,Rn,,,,-63-,
enthält,Rn.,,,,-64-,
entnehmen,S,,,,-65-,
entstandenen,S.,,,,-66-,
ergeben,Tz,,,,-67-,
Ergebnis,Tz.,,,,-68-,
ergibt,u.a,,,,-69-,
erhalten,u.a.,,,,-70-,
erkannt,Urt,,,,-71-,
